geographicAreaM49,geographicAreaM49_description,measuredElement,measuredElement_description,timePointYears,Value_unpd,flagObservationStatus,flagMethod,Value_faostat,Flag,(Value_unpd-Value_faostat)/Value_faostat
31,Azerbaijan,511,Total Population [1000],2004,8449,X,h,8465,,-0.001890136
31,Azerbaijan,511,Total Population [1000],2005,8539,X,h,8563,,-0.002802756
31,Azerbaijan,511,Total Population [1000],2006,8630,X,h,8665,,-0.004039238
31,Azerbaijan,511,Total Population [1000],2007,8724,X,h,8770,,-0.005245154
31,Azerbaijan,511,Total Population [1000],2008,8822,X,h,8878,,-0.006307727
31,Azerbaijan,511,Total Population [1000],2009,8924,X,h,8986,,-0.006899622
31,Azerbaijan,511,Total Population [1000],2010,9032,X,h,9095,,-0.006926883
31,Azerbaijan,511,Total Population [1000],2011,9146,X,h,9202,,-0.006085634
31,Azerbaijan,511,Total Population [1000],2012,9265,X,h,9309,,-0.004726609
31,Azerbaijan,511,Total Population [1000],2013,9385,X,h,9413,,-0.00297461
32,Argentina,511,Total Population [1000],2000,37057,X,h,36903,,0.004173102
32,Argentina,511,Total Population [1000],2001,37472,X,h,37273,,0.005338985
32,Argentina,511,Total Population [1000],2002,37889,X,h,37628,,0.006936324
32,Argentina,511,Total Population [1000],2003,38309,X,h,37970,,0.008928101
32,Argentina,511,Total Population [1000],2004,38729,X,h,38309,,0.010963481
32,Argentina,511,Total Population [1000],2005,39145,X,h,38648,,0.012859656
32,Argentina,511,Total Population [1000],2006,39559,X,h,38989,,0.014619508
32,Argentina,511,Total Population [1000],2007,39970,X,h,39331,,0.016246727
32,Argentina,511,Total Population [1000],2008,40382,X,h,39676,,0.017794132
32,Argentina,511,Total Population [1000],2009,40799,X,h,40024,,0.019363382
32,Argentina,511,Total Population [1000],2010,41224,X,h,40374,,0.021053153
32,Argentina,511,Total Population [1000],2011,41657,X,h,40729,,0.022784748
32,Argentina,511,Total Population [1000],2012,42097,X,h,41087,,0.024581985
32,Argentina,511,Total Population [1000],2013,42540,X,h,41446,,0.026395792
320,Guatemala,511,Total Population [1000],2000,11651,X,h,11204,,0.039896466
320,Guatemala,511,Total Population [1000],2001,11925,X,h,11479,,0.038853559
320,Guatemala,511,Total Population [1000],2002,12209,X,h,11766,,0.037650858
320,Guatemala,511,Total Population [1000],2003,12500,X,h,12063,,0.036226478
320,Guatemala,511,Total Population [1000],2004,12797,X,h,12368,,0.034686287
320,Guatemala,511,Total Population [1000],2005,13096,X,h,12679,,0.032889029
320,Guatemala,511,Total Population [1000],2006,13397,X,h,12995,,0.030934975
320,Guatemala,511,Total Population [1000],2007,13700,X,h,13318,,0.028682985
320,Guatemala,511,Total Population [1000],2008,14006,X,h,13648,,0.02623095
320,Guatemala,511,Total Population [1000],2009,14316,X,h,13989,,0.023375509
320,Guatemala,511,Total Population [1000],2010,14630,X,h,14342,,0.020080881
320,Guatemala,511,Total Population [1000],2011,14949,X,h,14707,,0.016454749
320,Guatemala,511,Total Population [1000],2012,15271,X,h,15083,,0.012464364
320,Guatemala,511,Total Population [1000],2013,15596,X,h,15468,,0.008275149
324,Guinea,511,Total Population [1000],2000,8809,X,h,8746,,0.007203293
324,Guinea,511,Total Population [1000],2001,8971,X,h,8895,,0.008544126
324,Guinea,511,Total Population [1000],2002,9137,X,h,9046,,0.010059695
324,Guinea,511,Total Population [1000],2003,9310,X,h,9205,,0.011406844
324,Guinea,511,Total Population [1000],2004,9490,X,h,9380,,0.011727079
324,Guinea,511,Total Population [1000],2005,9680,X,h,9576,,0.010860485
324,Guinea,511,Total Population [1000],2006,9881,X,h,9799,,0.008368201
324,Guinea,511,Total Population [1000],2007,10097,X,h,10047,,0.00497661
324,Guinea,511,Total Population [1000],2008,10323,X,h,10315,,0.00077557
324,Guinea,511,Total Population [1000],2009,10557,X,h,10593,,-0.003398471
324,Guinea,511,Total Population [1000],2010,10794,X,h,10876,,-0.007539537
324,Guinea,511,Total Population [1000],2011,11035,X,h,11162,,-0.011377889
324,Guinea,511,Total Population [1000],2012,11281,X,h,11451,,-0.014845865
324,Guinea,511,Total Population [1000],2013,11537,X,h,11745,,-0.017709664
328,Guyana,511,Total Population [1000],2000,753,X,h,744,,0.012096774
328,Guyana,511,Total Population [1000],2001,752,X,h,748,,0.005347594
328,Guyana,511,Total Population [1000],2002,752,X,h,751,,0.001331558
328,Guyana,511,Total Population [1000],2003,752,X,h,754,,-0.00265252
328,Guyana,511,Total Population [1000],2004,752,X,h,757,,-0.00660502
328,Guyana,511,Total Population [1000],2005,751,X,h,761,,-0.013140604
328,Guyana,511,Total Population [1000],2006,750,X,h,765,,-0.019607843
328,Guyana,511,Total Population [1000],2007,748,X,h,770,,-0.028571429
328,Guyana,511,Total Population [1000],2008,746,X,h,776,,-0.038659794
328,Guyana,511,Total Population [1000],2009,746,X,h,781,,-0.044814341
328,Guyana,511,Total Population [1000],2010,747,X,h,786,,-0.049618321
328,Guyana,511,Total Population [1000],2011,749,X,h,791,,-0.053097345
328,Guyana,511,Total Population [1000],2012,753,X,h,795,,-0.052830189
328,Guyana,511,Total Population [1000],2013,758,X,h,800,,-0.0525
332,Haiti,511,Total Population [1000],2000,8549,X,h,8578,,-0.003380741
332,Haiti,511,Total Population [1000],2001,8693,X,h,8720,,-0.00309633
332,Haiti,511,Total Population [1000],2002,8835,X,h,8860,,-0.00282167
332,Haiti,511,Total Population [1000],2003,8977,X,h,8996,,-0.00211205
332,Haiti,511,Total Population [1000],2004,9119,X,h,9130,,-0.001204819
332,Haiti,511,Total Population [1000],2005,9263,X,h,9261,,0.000215959
332,Haiti,511,Total Population [1000],2006,9409,X,h,9389,,0.002130152
332,Haiti,511,Total Population [1000],2007,9557,X,h,9514,,0.004519655
332,Haiti,511,Total Population [1000],2008,9705,X,h,9638,,0.00695165
332,Haiti,511,Total Population [1000],2009,9853,X,h,9765,,0.009011777
332,Haiti,511,Total Population [1000],2010,10000,X,h,9896,,0.010509297
332,Haiti,511,Total Population [1000],2011,10145,X,h,10033,,0.011163162
332,Haiti,511,Total Population [1000],2012,10289,X,h,10174,,0.011303322
332,Haiti,511,Total Population [1000],2013,10432,X,h,10317,,0.011146651
340,Honduras,511,Total Population [1000],2000,6524,X,h,6236,,0.046183451
340,Honduras,511,Total Population [1000],2001,6693,X,h,6365,,0.051531815
340,Honduras,511,Total Population [1000],2002,6863,X,h,6496,,0.056496305
340,Honduras,511,Total Population [1000],2003,7034,X,h,6628,,0.061255281
340,Honduras,511,Total Population [1000],2004,7204,X,h,6762,,0.065365277
340,Honduras,511,Total Population [1000],2005,7373,X,h,6899,,0.06870561
340,Honduras,511,Total Population [1000],2006,7541,X,h,7037,,0.07162143
340,Honduras,511,Total Population [1000],2007,7708,X,h,7178,,0.073836723
340,Honduras,511,Total Population [1000],2008,7873,X,h,7322,,0.075252663
340,Honduras,511,Total Population [1000],2009,8035,X,h,7470,,0.075635877
340,Honduras,511,Total Population [1000],2010,8195,X,h,7621,,0.0753182
340,Honduras,511,Total Population [1000],2011,8352,X,h,7777,,0.073935965
340,Honduras,511,Total Population [1000],2012,8506,X,h,7936,,0.071824597
340,Honduras,511,Total Population [1000],2013,8658,X,h,8096,,0.069416996
344,"China,H.Kong",511,Total Population [1000],2000,6664,X,h,6835,,-0.025018288
344,"China,H.Kong",511,Total Population [1000],2001,6722,X,h,6893,,-0.024807776
344,"China,H.Kong",511,Total Population [1000],2002,6759,X,h,6912,,-0.022135417
344,"China,H.Kong",511,Total Population [1000],2003,6783,X,h,6907,,-0.017952802
344,"China,H.Kong",511,Total Population [1000],2004,6803,X,h,6897,,-0.013629114
344,"China,H.Kong",511,Total Population [1000],2005,6828,X,h,6897,,-0.01000435
344,"China,H.Kong",511,Total Population [1000],2006,6860,X,h,6911,,-0.00737954
344,"China,H.Kong",511,Total Population [1000],2007,6898,X,h,6935,,-0.005335256
344,"China,H.Kong",511,Total Population [1000],2008,6940,X,h,6968,,-0.00401837
344,"China,H.Kong",511,Total Population [1000],2009,6983,X,h,7007,,-0.003425146
344,"China,H.Kong",511,Total Population [1000],2010,7025,X,h,7050,,-0.003546099
344,"China,H.Kong",511,Total Population [1000],2011,7066,X,h,7096,,-0.004227734
344,"China,H.Kong",511,Total Population [1000],2012,7106,X,h,7148,,-0.005875769
344,"China,H.Kong",511,Total Population [1000],2013,7149,X,h,7204,,-0.007634647
348,Hungary,511,Total Population [1000],2000,10221,X,h,10224,,-0.000293427
348,Hungary,511,Total Population [1000],2001,10194,X,h,10196,,-0.000196155
348,Hungary,511,Total Population [1000],2002,10168,X,h,10169,,-9.83E-05
348,Hungary,511,Total Population [1000],2003,10142,X,h,10142,,0
348,Hungary,511,Total Population [1000],2004,10115,X,h,10118,,-0.000296501
348,Hungary,511,Total Population [1000],2005,10086,X,h,10096,,-0.000990491
348,Hungary,511,Total Population [1000],2006,10056,X,h,10077,,-0.002083954
348,Hungary,511,Total Population [1000],2007,10024,X,h,10061,,-0.003677567
348,Hungary,511,Total Population [1000],2008,9991,X,h,10046,,-0.005474816
348,Hungary,511,Total Population [1000],2009,9959,X,h,10031,,-0.007177749
348,Hungary,511,Total Population [1000],2010,9928,X,h,10015,,-0.00868697
348,Hungary,511,Total Population [1000],2011,9898,X,h,9996,,-0.009803922
348,Hungary,511,Total Population [1000],2012,9870,X,h,9976,,-0.010625501
348,Hungary,511,Total Population [1000],2013,9842,X,h,9955,,-0.01135108
352,Iceland,511,Total Population [1000],2000,280,X,h,281,,-0.003558719
352,Iceland,511,Total Population [1000],2001,283,X,h,284,,-0.003521127
352,Iceland,511,Total Population [1000],2002,285,X,h,287,,-0.006968641
352,Iceland,511,Total Population [1000],2003,288,X,h,290,,-0.006896552
352,Iceland,511,Total Population [1000],2004,291,X,h,293,,-0.006825939
352,Iceland,511,Total Population [1000],2005,295,X,h,297,,-0.006734007
352,Iceland,511,Total Population [1000],2006,300,X,h,301,,-0.003322259
352,Iceland,511,Total Population [1000],2007,305,X,h,305,,0
352,Iceland,511,Total Population [1000],2008,311,X,h,309,,0.006472492
352,Iceland,511,Total Population [1000],2009,316,X,h,314,,0.006369427
352,Iceland,511,Total Population [1000],2010,320,X,h,318,,0.006289308
352,Iceland,511,Total Population [1000],2011,323,X,h,322,,0.00310559
352,Iceland,511,Total Population [1000],2012,326,X,h,326,,0
352,Iceland,511,Total Population [1000],2013,327,X,h,330,,-0.009090909
356,India,511,Total Population [1000],2000,1053051,X,h,1042262,,0.010351524
356,India,511,Total Population [1000],2001,1071478,X,h,1059501,,0.011304378
356,India,511,Total Population [1000],2002,1089807,X,h,1076706,,0.012167667
356,India,511,Total Population [1000],2003,1108028,X,h,1093787,,0.013019902
356,India,511,Total Population [1000],2004,1126136,X,h,1110626,,0.013965097
356,India,511,Total Population [1000],2005,1144119,X,h,1127144,,0.015060188
356,India,511,Total Population [1000],2006,1161978,X,h,1143289,,0.016346698
356,India,511,Total Population [1000],2007,1179681,X,h,1159095,,0.017760408
356,India,511,Total Population [1000],2008,1197147,X,h,1174662,,0.019141676
356,India,511,Total Population [1000],2009,1214270,X,h,1190138,,0.02027664
356,India,511,Total Population [1000],2010,1230981,X,h,1205625,,0.021031415
356,India,511,Total Population [1000],2011,1247236,X,h,1221156,,0.021356813
356,India,511,Total Population [1000],2012,1263066,X,h,1236687,,0.021330377
356,India,511,Total Population [1000],2013,1278562,X,h,1252140,,0.021101474
36,Australia,511,Total Population [1000],2000,19066,X,h,19259,,-0.010021289
36,Australia,511,Total Population [1000],2001,19269,X,h,19487,,-0.011186945
36,Australia,511,Total Population [1000],2002,19475,X,h,19715,,-0.012173472
36,Australia,511,Total Population [1000],2003,19697,X,h,19953,,-0.012830151
36,Australia,511,Total Population [1000],2004,19948,X,h,20218,,-0.013354437
36,Australia,511,Total Population [1000],2005,20239,X,h,20521,,-0.01374202
36,Australia,511,Total Population [1000],2006,20574,X,h,20866,,-0.013994057
36,Australia,511,Total Population [1000],2007,20947,X,h,21246,,-0.014073237
36,Australia,511,Total Population [1000],2008,21342,X,h,21645,,-0.013998614
36,Australia,511,Total Population [1000],2009,21739,X,h,22037,,-0.013522712
36,Australia,511,Total Population [1000],2010,22120,X,h,22404,,-0.012676308
36,Australia,511,Total Population [1000],2011,22480,X,h,22741,,-0.011477068
36,Australia,511,Total Population [1000],2012,22822,X,h,23050,,-0.00989154
36,Australia,511,Total Population [1000],2013,23151,X,h,23343,,-0.008225164
360,Indonesia,511,Total Population [1000],2000,211540,X,h,208939,,0.012448609
360,Indonesia,511,Total Population [1000],2001,214507,X,h,211970,,0.011968675
360,Indonesia,511,Total Population [1000],2002,217508,X,h,215038,,0.011486342
360,Indonesia,511,Total Population [1000],2003,220545,X,h,218146,,0.010997222
360,Indonesia,511,Total Population [1000],2004,223615,X,h,221294,,0.01048831
360,Indonesia,511,Total Population [1000],2005,226713,X,h,224481,,0.009942935
360,Indonesia,511,Total Population [1000],2006,229838,X,h,227710,,0.00934522
360,Indonesia,511,Total Population [1000],2007,232989,X,h,230973,,0.008728293
360,Indonesia,511,Total Population [1000],2008,236159,X,h,234243,,0.00817954
360,Indonesia,511,Total Population [1000],2009,239340,X,h,237487,,0.007802532
360,Indonesia,511,Total Population [1000],2010,242524,X,h,240676,,0.007678373
360,Indonesia,511,Total Population [1000],2011,245708,X,h,243802,,0.007817819
360,Indonesia,511,Total Population [1000],2012,248883,X,h,246864,,0.008178592
360,Indonesia,511,Total Population [1000],2013,252032,X,h,249866,,0.008668646
364,Iran (Islamic Republic of),511,Total Population [1000],2000,66132,X,h,65911,,0.003353006
364,Iran (Islamic Republic of),511,Total Population [1000],2001,67096,X,h,66858,,0.003559783
364,Iran (Islamic Republic of),511,Total Population [1000],2002,67983,X,h,67727,,0.003779881
364,Iran (Islamic Republic of),511,Total Population [1000],2003,68813,X,h,68543,,0.003939133
364,Iran (Islamic Republic of),511,Total Population [1000],2004,69617,X,h,69342,,0.00396585
364,Iran (Islamic Republic of),511,Total Population [1000],2005,70422,X,h,70152,,0.003848785
364,Iran (Islamic Republic of),511,Total Population [1000],2006,71228,X,h,70977,,0.003536357
364,Iran (Islamic Republic of),511,Total Population [1000],2007,72031,X,h,71809,,0.003091534
364,Iran (Islamic Republic of),511,Total Population [1000],2008,72846,X,h,72661,,0.00254607
364,Iran (Islamic Republic of),511,Total Population [1000],2009,73688,X,h,73543,,0.001971636
364,Iran (Islamic Republic of),511,Total Population [1000],2010,74568,X,h,74462,,0.001423545
364,Iran (Islamic Republic of),511,Total Population [1000],2011,75492,X,h,75424,,0.00090157
364,Iran (Islamic Republic of),511,Total Population [1000],2012,76454,X,h,76424,,0.000392547
364,Iran (Islamic Republic of),511,Total Population [1000],2013,77435,X,h,77447,,-0.000154945
368,Iraq,511,Total Population [1000],2000,23565,X,h,23801,,-0.00991555
368,Iraq,511,Total Population [1000],2001,24252,X,h,24517,,-0.010808827
368,Iraq,511,Total Population [1000],2002,24939,X,h,25238,,-0.011847215
368,Iraq,511,Total Population [1000],2003,25628,X,h,25960,,-0.012788906
368,Iraq,511,Total Population [1000],2004,26317,X,h,26674,,-0.013383819
368,Iraq,511,Total Population [1000],2005,27008,X,h,27377,,-0.013478467
368,Iraq,511,Total Population [1000],2006,27698,X,h,28064,,-0.013041619
368,Iraq,511,Total Population [1000],2007,28390,X,h,28741,,-0.012212519
368,Iraq,511,Total Population [1000],2008,29111,X,h,29430,,-0.01083928
368,Iraq,511,Total Population [1000],2009,29895,X,h,30163,,-0.008885058
368,Iraq,511,Total Population [1000],2010,30763,X,h,30962,,-0.006427233
368,Iraq,511,Total Population [1000],2011,31727,X,h,31837,,-0.003455099
368,Iraq,511,Total Population [1000],2012,32777,X,h,32778,,-3.05E-05
368,Iraq,511,Total Population [1000],2013,33883,X,h,33765,,0.003494743
372,Ireland,511,Total Population [1000],2000,3849,X,h,3804,,0.011829653
372,Ireland,511,Total Population [1000],2001,3909,X,h,3866,,0.011122607
372,Ireland,511,Total Population [1000],2002,3976,X,h,3936,,0.010162602
372,Ireland,511,Total Population [1000],2003,4050,X,h,4011,,0.009723261
372,Ireland,511,Total Population [1000],2004,4129,X,h,4086,,0.01052374
372,Ireland,511,Total Population [1000],2005,4213,X,h,4158,,0.013227513
372,Ireland,511,Total Population [1000],2006,4303,X,h,4226,,0.01822054
372,Ireland,511,Total Population [1000],2007,4398,X,h,4291,,0.024935912
372,Ireland,511,Total Population [1000],2008,4490,X,h,4352,,0.031709559
372,Ireland,511,Total Population [1000],2009,4568,X,h,4410,,0.035827664
372,Ireland,511,Total Population [1000],2010,4627,X,h,4468,,0.035586392
372,Ireland,511,Total Population [1000],2011,4663,X,h,4523,,0.030952907
372,Ireland,511,Total Population [1000],2012,4678,X,h,4576,,0.02229021
372,Ireland,511,Total Population [1000],2013,4682,X,h,4627,,0.011886752
376,Israel,511,Total Population [1000],2000,6014,X,h,6014,,0
376,Israel,511,Total Population [1000],2001,6130,X,h,6130,,0
376,Israel,511,Total Population [1000],2002,6239,X,h,6239,,0
376,Israel,511,Total Population [1000],2003,6350,X,h,6349,,0.000157505
376,Israel,511,Total Population [1000],2004,6469,X,h,6468,,0.000154607
376,Israel,511,Total Population [1000],2005,6603,X,h,6604,,-0.000151423
376,Israel,511,Total Population [1000],2006,6755,X,h,6759,,-0.000591804
376,Israel,511,Total Population [1000],2007,6923,X,h,6930,,-0.001010101
376,Israel,511,Total Population [1000],2008,7097,X,h,7107,,-0.001407063
376,Israel,511,Total Population [1000],2009,7268,X,h,7274,,-0.000824856
376,Israel,511,Total Population [1000],2010,7426,X,h,7420,,0.000808625
376,Israel,511,Total Population [1000],2011,7569,X,h,7542,,0.003579952
376,Israel,511,Total Population [1000],2012,7699,X,h,7644,,0.007195186
376,Israel,511,Total Population [1000],2013,7821,X,h,7733,,0.011379801
380,Italy,511,Total Population [1000],2000,57294,X,h,56986,,0.005404836
380,Italy,511,Total Population [1000],2001,57506,X,h,57200,,0.00534965
380,Italy,511,Total Population [1000],2002,57802,X,h,57501,,0.005234692
380,Italy,511,Total Population [1000],2003,58147,X,h,57868,,0.004821317
380,Italy,511,Total Population [1000],2004,58495,X,h,58267,,0.003913021
380,Italy,511,Total Population [1000],2005,58808,X,h,58672,,0.002317971
380,Italy,511,Total Population [1000],2006,59080,X,h,59078,,3.39E-05
380,Italy,511,Total Population [1000],2007,59314,X,h,59486,,-0.002891437
380,Italy,511,Total Population [1000],2008,59502,X,h,59874,,-0.006213047
380,Italy,511,Total Population [1000],2009,59642,X,h,60220,,-0.00959814
380,Italy,511,Total Population [1000],2010,59730,X,h,60509,,-0.012874118
380,Italy,511,Total Population [1000],2011,59760,X,h,60729,,-0.015956133
380,Italy,511,Total Population [1000],2012,59734,X,h,60885,,-0.018904492
380,Italy,511,Total Population [1000],2013,59668,X,h,60990,,-0.021675685
384,Côte d'Ivoire,511,Total Population [1000],2000,16687,X,h,16131,,0.034467795
384,Côte d'Ivoire,511,Total Population [1000],2001,17040,X,h,16420,,0.037758831
384,Côte d'Ivoire,511,Total Population [1000],2002,17367,X,h,16675,,0.04149925
384,Côte d'Ivoire,511,Total Population [1000],2003,17679,X,h,16910,,0.04547605
384,Côte d'Ivoire,511,Total Population [1000],2004,17998,X,h,17144,,0.049813346
384,Côte d'Ivoire,511,Total Population [1000],2005,18336,X,h,17394,,0.054156606
384,Côte d'Ivoire,511,Total Population [1000],2006,18699,X,h,17662,,0.058713622
384,Côte d'Ivoire,511,Total Population [1000],2007,19086,X,h,17949,,0.063346147
384,Côte d'Ivoire,511,Total Population [1000],2008,19498,X,h,18260,,0.067798467
384,Côte d'Ivoire,511,Total Population [1000],2009,19936,X,h,18601,,0.071770335
384,Côte d'Ivoire,511,Total Population [1000],2010,20401,X,h,18977,,0.075038204
384,Côte d'Ivoire,511,Total Population [1000],2011,20895,X,h,19390,,0.077617329
384,Côte d'Ivoire,511,Total Population [1000],2012,21419,X,h,19840,,0.079586694
384,Côte d'Ivoire,511,Total Population [1000],2013,21966,X,h,20316,,0.081216775
388,Jamaica,511,Total Population [1000],2000,2657,X,h,2582,,0.02904725
388,Jamaica,511,Total Population [1000],2001,2677,X,h,2605,,0.027639155
388,Jamaica,511,Total Population [1000],2002,2695,X,h,2627,,0.02588504
388,Jamaica,511,Total Population [1000],2003,2713,X,h,2647,,0.024933887
388,Jamaica,511,Total Population [1000],2004,2729,X,h,2666,,0.023630908
388,Jamaica,511,Total Population [1000],2005,2745,X,h,2682,,0.023489933
388,Jamaica,511,Total Population [1000],2006,2760,X,h,2696,,0.023738872
388,Jamaica,511,Total Population [1000],2007,2775,X,h,2708,,0.024741507
388,Jamaica,511,Total Population [1000],2008,2790,X,h,2719,,0.026112541
388,Jamaica,511,Total Population [1000],2009,2804,X,h,2730,,0.027106227
388,Jamaica,511,Total Population [1000],2010,2817,X,h,2741,,0.027727107
388,Jamaica,511,Total Population [1000],2011,2829,X,h,2755,,0.026860254
388,Jamaica,511,Total Population [1000],2012,2841,X,h,2769,,0.026002167
388,Jamaica,511,Total Population [1000],2013,2852,X,h,2784,,0.024425287
392,Japan,511,Total Population [1000],2000,127534,X,h,125715,,0.014469236
392,Japan,511,Total Population [1000],2001,127724,X,h,125974,,0.013891755
392,Japan,511,Total Population [1000],2002,127903,X,h,126249,,0.013101094
392,Japan,511,Total Population [1000],2003,128068,X,h,126524,,0.012203218
392,Japan,511,Total Population [1000],2004,128214,X,h,126773,,0.011366774
392,Japan,511,Total Population [1000],2005,128336,X,h,126979,,0.010686806
392,Japan,511,Total Population [1000],2006,128433,X,h,127136,,0.010201674
392,Japan,511,Total Population [1000],2007,128505,X,h,127249,,0.009870412
392,Japan,511,Total Population [1000],2008,128551,X,h,127319,,0.009676482
392,Japan,511,Total Population [1000],2009,128567,X,h,127353,,0.009532559
392,Japan,511,Total Population [1000],2010,128552,X,h,127353,,0.009414776
392,Japan,511,Total Population [1000],2011,128505,X,h,127319,,0.009315185
392,Japan,511,Total Population [1000],2012,128426,X,h,127250,,0.00924165
392,Japan,511,Total Population [1000],2013,128313,X,h,127144,,0.009194299
398,Kazakhstan,511,Total Population [1000],2000,15057,X,h,14576,,0.032999451
398,Kazakhstan,511,Total Population [1000],2001,15040,X,h,14559,,0.033037983
398,Kazakhstan,511,Total Population [1000],2002,15106,X,h,14623,,0.033030158
398,Kazakhstan,511,Total Population [1000],2003,15232,X,h,14748,,0.032818009
398,Kazakhstan,511,Total Population [1000],2004,15386,X,h,14902,,0.032478862
398,Kazakhstan,511,Total Population [1000],2005,15541,X,h,15064,,0.031664896
398,Kazakhstan,511,Total Population [1000],2006,15691,X,h,15227,,0.030472188
398,Kazakhstan,511,Total Population [1000],2007,15841,X,h,15396,,0.028903611
398,Kazakhstan,511,Total Population [1000],2008,16001,X,h,15568,,0.027813464
398,Kazakhstan,511,Total Population [1000],2009,16184,X,h,15744,,0.027947154
398,Kazakhstan,511,Total Population [1000],2010,16399,X,h,15921,,0.03002324
398,Kazakhstan,511,Total Population [1000],2011,16647,X,h,16098,,0.034103615
398,Kazakhstan,511,Total Population [1000],2012,16921,X,h,16271,,0.039948374
398,Kazakhstan,511,Total Population [1000],2013,17207,X,h,16441,,0.04659084
4,Afghanistan,511,Total Population [1000],2000,20094,X,h,20595,,-0.024326293
4,Afghanistan,511,Total Population [1000],2001,20966,X,h,21348,,-0.017893948
4,Afghanistan,511,Total Population [1000],2002,21980,X,h,22203,,-0.010043688
4,Afghanistan,511,Total Population [1000],2003,23065,X,h,23116,,-0.002206264
4,Afghanistan,511,Total Population [1000],2004,24119,X,h,24019,,0.004163371
4,Afghanistan,511,Total Population [1000],2005,25071,X,h,24861,,0.008446965
4,Afghanistan,511,Total Population [1000],2006,25893,X,h,25631,,0.010221997
4,Afghanistan,511,Total Population [1000],2007,26617,X,h,26349,,0.010171164
4,Afghanistan,511,Total Population [1000],2008,27294,X,h,27032,,0.009692217
4,Afghanistan,511,Total Population [1000],2009,28004,X,h,27708,,0.010682835
4,Afghanistan,511,Total Population [1000],2010,28803,X,h,28398,,0.014261568
4,Afghanistan,511,Total Population [1000],2011,29709,X,h,29105,,0.020752448
4,Afghanistan,511,Total Population [1000],2012,30697,X,h,29825,,0.029237217
4,Afghanistan,511,Total Population [1000],2013,31732,X,h,30552,,0.038622676
40,Austria,511,Total Population [1000],2000,8069,X,h,8020,,0.006109726
40,Austria,511,Total Population [1000],2001,8098,X,h,8049,,0.006087713
40,Austria,511,Total Population [1000],2002,8134,X,h,8092,,0.005190311
40,Austria,511,Total Population [1000],2003,8176,X,h,8142,,0.004175878
40,Austria,511,Total Population [1000],2004,8217,X,h,8193,,0.00292933
40,Austria,511,Total Population [1000],2005,8254,X,h,8239,,0.001820609
40,Austria,511,Total Population [1000],2006,8285,X,h,8277,,0.000966534
40,Austria,511,Total Population [1000],2007,8312,X,h,8311,,0.000120322
40,Austria,511,Total Population [1000],2008,8338,X,h,8342,,-0.000479501
40,Austria,511,Total Population [1000],2009,8370,X,h,8372,,-0.000238892
40,Austria,511,Total Population [1000],2010,8410,X,h,8402,,0.000952154
40,Austria,511,Total Population [1000],2011,8460,X,h,8433,,0.003201708
40,Austria,511,Total Population [1000],2012,8518,X,h,8464,,0.006379962
40,Austria,511,Total Population [1000],2013,8578,X,h,8495,,0.009770453
400,Jordan,511,Total Population [1000],2000,5103,X,h,4767,,0.070484581
400,Jordan,511,Total Population [1000],2001,5193,X,h,4835,,0.074043433
400,Jordan,511,Total Population [1000],2002,5287,X,h,4903,,0.078319396
400,Jordan,511,Total Population [1000],2003,5397,X,h,4984,,0.082865169
400,Jordan,511,Total Population [1000],2004,5536,X,h,5092,,0.087195601
400,Jordan,511,Total Population [1000],2005,5714,X,h,5239,,0.090666158
400,Jordan,511,Total Population [1000],2006,5934,X,h,5429,,0.093018972
400,Jordan,511,Total Population [1000],2007,6193,X,h,5656,,0.094943423
400,Jordan,511,Total Population [1000],2008,6490,X,h,5911,,0.097952969
400,Jordan,511,Total Population [1000],2009,6821,X,h,6181,,0.103543116
400,Jordan,511,Total Population [1000],2010,7182,X,h,6455,,0.112625871
400,Jordan,511,Total Population [1000],2011,7575,X,h,6731,,0.125389987
400,Jordan,511,Total Population [1000],2012,7993,X,h,7009,,0.140390926
400,Jordan,511,Total Population [1000],2013,8413,X,h,7274,,0.156585098
404,Kenya,511,Total Population [1000],2000,31450,X,h,31285,,0.005274093
404,Kenya,511,Total Population [1000],2001,32321,X,h,32126,,0.00606985
404,Kenya,511,Total Population [1000],2002,33214,X,h,33001,,0.00645435
404,Kenya,511,Total Population [1000],2003,34131,X,h,33905,,0.006665684
404,Kenya,511,Total Population [1000],2004,35075,X,h,34835,,0.006889623
404,Kenya,511,Total Population [1000],2005,36048,X,h,35786,,0.007321299
404,Kenya,511,Total Population [1000],2006,37052,X,h,36757,,0.008025682
404,Kenya,511,Total Population [1000],2007,38086,X,h,37752,,0.008847213
404,Kenya,511,Total Population [1000],2008,39148,X,h,38773,,0.009671679
404,Kenya,511,Total Population [1000],2009,40237,X,h,39825,,0.010345261
404,Kenya,511,Total Population [1000],2010,41350,X,h,40909,,0.010780024
404,Kenya,511,Total Population [1000],2011,42487,X,h,42028,,0.010921291
404,Kenya,511,Total Population [1000],2012,43647,X,h,43178,,0.010862013
404,Kenya,511,Total Population [1000],2013,44827,X,h,44354,,0.010664202
408,Democratic People's Republic of Korea,511,Total Population [1000],2000,22929,X,h,22840,,0.003896673
408,Democratic People's Republic of Korea,511,Total Population [1000],2001,23132,X,h,23043,,0.003862344
408,Democratic People's Republic of Korea,511,Total Population [1000],2002,23337,X,h,23248,,0.003828286
408,Democratic People's Republic of Korea,511,Total Population [1000],2003,23539,X,h,23449,,0.003838117
408,Democratic People's Republic of Korea,511,Total Population [1000],2004,23729,X,h,23639,,0.003807268
